Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
94 - Corse	2B - Haute-Corse	3 - Corte	212000871 - Cervione	242000321	SIVOM de Cervione, Valle di Campoloro	SIVOM	0	0	1968-05-07	1968-05-07	MEMNB		2	2545	3	CBUDG	M.	Jean Jacques	PAOLI	
94 - Corse	2B - Haute-Corse	5 - Calvi	212000343 - Belgodère	242020048	SIVOM de la région de Belgodère	SIVOM	1	0	1974-10-28	1974-10-28	MEMNB		6	1705	2	CBUDG	M.	Pierre-Marie	MANCINI	
94 - Corse	2B - Haute-Corse	3 - Corte	212002513 - Prunelli-di-Fiumorbo	252000799	SIVOM de la Plaine du Fium'Orbo	SIVOM	0	0	1951-06-23	1951-06-23	MEMNB		14	15565	1	CBUDG	M.	Francis	GIUDICI	
94 - Corse	2B - Haute-Corse	3 - Corte	212002075 - Penta-di-Casinca	252020136	SI de la Casinca à Moriani	SIVOM	0	0	1949-06-10	1949-06-10	MEMNB		11	16697	2	CBUDG	M.	Yannick	CASTELLI	
94 - Corse	2B - Haute-Corse	3 - Corte	212000962 - Corte	200009827	SM pour la valorisation des déchets de Corse (SYVADEC)	SMF	0	1	2007-07-13	2007-07-13	POPUL		19	329021	4	CBUDG	M.	Don GEORGES	GIANNI	
94 - Corse	2B - Haute-Corse	3 - Corte	212000129 - Altiani	242000438	SIVOM de Rogna	SMF	0	0	1989-11-29	1989-11-29	MEMNB		5	620	3	CBUDG	M.	Augustin	ALBERICCI	
94 - Corse	2B - Haute-Corse	5 - Calvi	212002059 - Patrimonio	200078657	SM du grand site de Conca C'Oru, vignoble de Patrimonio - Golfe de Saint-Florent	SMO	0	0	2017-11-29	2017-11-29	AUTR		8	7774	1	CBUFI	M.	Claudy	OLMETA	
94 - Corse	2B - Haute-Corse	5 - Calvi	212001903 - Olmi-Cappella	252020391	SM du Giussani	SMO	0	1	2001-02-20	2001-02-20	AUTR	7 délégués titulaires et 7 délégués suppléants pour la collectivité de corse et 1 titulaire et 1 suppléant pour chacune des communes membres	6	327	2	CBUDG	M.	Frédéric	MARIANI	
94 - Corse	2B - Haute-Corse	3 - Corte	212000962 - Corte	252020441	SM chauffage urbain de Corte	SMO	0	1	2004-06-25	2004-06-25	MEMNB		2	7757	1	CBUDG	M.	Xavier	POLI	
94 - Corse	2B - Haute-Corse	5 - Calvi	212000848 - Cateri	200066611	Pays de Balagne	PETR	0	0	2016-10-24	2016-10-24	AUTR	ARTICLE 5 DES STATUTS	2	23952	1	CBUDG	M.	Pierre	POLI	
