Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
32 - Hauts-de-France	80 - Somme	1 - Abbeville	218000016 - Abbeville	200070993	CA de la Baie de Somme	CA	0	0	2017-01-01	2017-01-01	RDC		43	49051	39	FPU	M.	Pascal	DEMARTHE	
32 - Hauts-de-France	80 - Somme	2 - Amiens	218000198 - Amiens	248000531	CA Amiens Métropole	CA	0	0	1999-12-30	1999-12-30	RDC		39	184918	41	FPU	M.	Alain	GEST	
32 - Hauts-de-France	80 - Somme	4 - Péronne	218005858 - Péronne	200037059	CC de la Haute Somme (Combles - Péronne - Roisel)	CC	0	0	2012-12-28	2012-12-31	RDC		60	27103	30	FPU	M.	Eric	FRANCOIS	
32 - Hauts-de-France	80 - Somme	4 - Péronne	218002756 - Estrées-Deniécourt	200070928	CC Terre de Picardie	CC	0	0	2017-01-01	2017-01-01	RDC		43	18259	29	AAZAE	M.	Philippe	CHEVAL	
32 - Hauts-de-France	80 - Somme	1 - Abbeville	218006484 - Rue	200070936	CC Ponthieu-Marquenterre	CC	0	0	2017-01-01	2017-01-01	RDC		71	33459	25	FPU	M.	Claude	HERTAULT	
32 - Hauts-de-France	80 - Somme	1 - Abbeville	218003531 - Friville-Escarbotin	200070944	CC du Vimeu	CC	0	0	2017-01-01	2017-01-01	RDC		25	22833	31	AAZSE	M.	Jean-Pierre	BOUDINELLE	
32 - Hauts-de-France	80 - Somme	2 - Amiens	218002459 - Doullens	200070951	CC du Territoire Nord Picardie	CC	0	0	2017-01-01	2017-01-01	RDC		65	31450	38	FPU	Mme	Christelle	HIVER	
32 - Hauts-de-France	80 - Somme	3 - Montdidier	218005379 - Moreuil	200070969	CC Avre Luce Noye	CC	0	0	2017-01-01	2017-01-01	RDC		47	22098	33	AAZAE	M.	Alain	DOVERGNE	
32 - Hauts-de-France	80 - Somme	3 - Montdidier	218005312 - Montdidier	200070977	CC du Grand Roye	CC	0	0	2017-01-01	2017-01-01	RDC		62	25592	31	ASZSE	Mme	Bénédicte	THIEBAUT	
32 - Hauts-de-France	80 - Somme	4 - Péronne	218002632 - Eppeville	200070985	CC de l'Est de la Somme	CC	0	1	2017-01-01	2017-01-01	RDC		41	20143	30	AAZAE	M.	José	RIOJA FERNANDEZ	
32 - Hauts-de-France	80 - Somme	2 - Amiens	218005957 - Poix-de-Picardie	200071181	CC Somme Sud-Ouest	CC	0	0	2017-01-01	2017-01-01	RDC		119	38920	32	AAZAE	M.	Alain	DESFOSSES	
32 - Hauts-de-France	80 - Somme	2 - Amiens	218003051 - Flixecourt	200071223	CC Nièvre et Somme	CC	0	0	2017-01-01	2017-01-01	RDC		36	28099	26	FPU	M.	René	LOGNON	
32 - Hauts-de-France	80 - Somme	2 - Amiens	218002046 - Corbie	248000499	CC du Val de Somme	CC	0	0	1993-12-27	1993-12-27	RDC	L'accord local conclu en 2013 n'est plus valable en 2017.	33	26934	31	FPU	M.	Alain	BABAUT	
32 - Hauts-de-France	80 - Somme	4 - Péronne	218000149 - Albert	248000747	CC du Pays du Coquelicot	CC	0	0	2001-12-26	2001-12-26	RDC		65	28587	27	FPU	M.	Michel	WATELAIN	
32 - Hauts-de-France	80 - Somme	2 - Amiens	218005957 - Poix-de-Picardie	200001287	SIVU de gendarmerie de Poix-de-Picardie	SIVU	0	0	2005-12-26	2005-12-26	MEMNB		30	9136	1	CBUDG	M.	Romuald	TRABOUILLET	
