Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711207 - Pointe-à-Pitre	200018653	CA CAP Excellence	CA	0	0	2008-12-30	2008-12-30	RDC		3	98532	40	FPU	M.	Eric	JALTON	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711132 - Le Gosier	200041507	CA La Riviéra du Levant	CA	0	0	2014-01-01	2014-01-01	RDC		4	66525	43	FPU	M.	Cédric	CORNET	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711223 - Port-Louis	200044691	CA du Nord Grande Terre	CA	0	0	2014-01-01	2014-01-01	RDC		5	57125	38	FPU	M.	Jean	BARDAIL	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711298 - Sainte-Rose	249710062	CA du Nord Basse-Terre	CA	0	0	2010-12-30	2010-12-30	RDC		6	79010	40	FPU	M.	Guy	LOSBAR	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711058 - Basse-Terre	249710070	CA Grand Sud Caraïbe	CA	0	0	2011-12-30	2011-12-30	ACCOR		11	77485	43	FPU	M.	Thierry	ABELLI	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711124 - Grand-Bourg	249710047	CC de Marie-Galante	CC	0	0	1994-01-18	1994-01-18	RDC		3	10600	23	FPU	Mme	Maryse	ETZOL	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711041 - Baillif	200050409	SI de l'abattoir de la Basse Terre	SIVU	0	0	2012-04-26	2012-04-26	MEMNB		5	29511	1	CBUDG	M.	Roland	PLANTIER	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711017 - Les Abymes	259710077	SI mise en valeur sites plage Guadeloupe	SIVU	0	0	1968-03-08	1968-05-08	AUTR	Majorité absolue	24	286351	1	CBUDG	M.	Camille	PELAGE	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711017 - Les Abymes	259710101	SI de la piscine Les Abymes, Le Gosier, Pointe-à-Pitre	SIVU	0	0	1968-07-10	1968-07-10	MEMNB		3	94599	1	CBUDG	M.	ROBERT	BARBIN	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711017 - Les Abymes	259710192	SIVU Agglo Les Abymes Baie-Mahault Le Gosier Pointe-à Pitre	SIVU	0	0	1998-10-22	1998-10-22	MEMNB		4	125969	2	CBUDG	M.	Lurel	CHONKEL	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711132 - Le Gosier	200048163	SI d'alimentation en eau et d'assainissement de la Guadeloupe	SIVOM	0	0	1963-04-26	1963-04-26	MEMNB		6	98865	3	CBUDG	M.	Ferdy	LOUISY	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711033 - Baie-Mahault	200010759	SM d'électricité de la Guadeloupe	SMF	0	0	2007-06-06	2007-06-06	MEMNB		30	389277	4	AUCUN	M.	ALBERT	ELATRE	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711033 - Baie-Mahault	200014447	SM de gestion, d'entretien et d'exploitation des routes de la Guadeloupe	SMO	0	0	2007-11-27	2007-11-27	MEMNB		2	0	2	CBUDG	M.	Victorin	LUREL	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711207 - Pointe-à-Pitre	200044709	Syndicat de valorisation des déchets	SMO	0	0	1973-04-05	1973-04-26	MEMNB		11	254667	1	CBUDG	M.	MICHEL	RINCON	
01 - Guadeloupe	971 - Guadeloupe	2 - Pointe-à-Pitre	219711132 - Le Gosier	200095834	SM d'Innovation et de Valorisation de Guadeloupe (SINNOVAL Guadeloupe)	SMO	1	0	2021-05-01	2021-05-01	AUTR	Majorité absolue	3	123650	1	CBUDG	M.	Cédric	CORNET	
01 - Guadeloupe	971 - Guadeloupe	1 - Basse-Terre	219711033 - Baie-Mahault	259710218	SM des transports du Petit cul de sac marin	SMO	0	0	2003-11-06	2003-11-06	MEMNB		4	165057	3	CBUDG	M.	Ary	CHALUS	
