Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210500617 - Gap	200067825	CA Gap-Tallard-Durance	CA	0	1	2016-10-26	2017-01-01	RDC		17	52244	37	FPU	M.	Roger	DIDIER	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210500179 - La Bâtie-Neuve	200067320	CC Serre-Ponçon Val d'Avance	CC	0	1	2016-10-28	2017-01-01	ACCOR		16	7995	24	FPU	M.	Joël	BONNAFFOUX	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210501797 - Veynes	200067445	CC Buëch-Dévoluy	CC	0	0	2016-10-21	2017-01-01	RDC		20	9843	28	FPU	M.	Michel	RICOU-CHARLES	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	1 - Briançon	210500658 - Guillestre	200067452	CC du Guillestrois et du Queyras	CC	0	0	2016-10-24	2017-01-01	ACCOR		15	8110	30	FPU	M.	Dominique	MOULIN	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210500468 - Embrun	200067742	CC Serre-Ponçon	CC	0	1	2016-11-02	2017-01-01	RDC		17	17483	25	FPU	Mme	Chantal	EYMEOUD	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	200034502 - Saint-Bonnet-en-Champsaur	200068096	CC Champsaur-Valgaudemar	CC	0	0	2016-11-07	2017-01-01	RDC		25	11752	23	ASZSE	M.	Fabrice	BOREL	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	1 - Briançon	210500237 - Briançon	240500439	CC du Briançonnais	CC	0	0	1995-12-28	1995-12-28	RDC		13	19377	35	FPU	M.	Arnaud	MURGIA	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	1 - Briançon	210500062 - L'Argentière-la-Bessée	240500462	CC du Pays des Ecrins	CC	0	0	2000-12-14	2000-12-14	ACCOR		8	6758	29	FPU	M.	Cyrille	DRUJON D'ASTROS	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	1 - Briançon	210501094 - Puy-Saint-Pierre	200003945	SIVU du Prorel	SIVU	0	0	2006-04-18	2006-04-18	MEMNB		3	11887	3	CBUDG	M.	Vincent	FAUBERT	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210501474 - Saint-Julien-en-Champsaur	200018901	SIVU de l'Ancolie	SIVU	0	0	2009-02-03	2009-02-03	MEMNB		3	956	1	CFISC	Mme	Delphine	BROCHIER	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210500120 - Baratier	200023885	SIVU ''Pôle Enfance Jeunesse'' Les Loulou's (0-18 ans)	SIVU	0	0	2009-12-31	2010-01-01	MEMNB		5	4298	1	CBUDG	Mme	Chantal	ROUX	
93 - Provence-Alpes-Côte d'Azur	05 - Hautes-Alpes	2 - Gap	210500591 - La Freissinouse	200030005	SIVU de RP de Pelleautier - La Freissinouse	SIVU	0	0	2011-11-24	2011-11-24	MEMNB		2	1809	2	CBUDG	Mme	Séverine	RAMBAUD	
