Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
75 - Nouvelle Aquitaine	16 - Charente	2 - Cognac	211601026 - Cognac	200070514	CA du Grand Cognac	CA	0	0	2016-12-08	2017-01-01	RDC		54	70566	46	FPU	M.	Jérôme	SOURISSEAU	
75 - Nouvelle Aquitaine	16 - Charente	1 - Angoulême	211600150 - Angoulême	200071827	CA du Grand Angoulême	CA	0	0	2016-12-16	2017-01-01	RDC		38	146013	38	FPU	M.	Xavier	BONNEFONT	
75 - Nouvelle Aquitaine	16 - Charente	2 - Cognac	211603840 - Touvérac	200029734	CC des 4B Sud Charente	CC	0	0	2011-11-03	2012-01-01	RDC		40	20439	30	FPU	M.	Jacques	CHABOT	
75 - Nouvelle Aquitaine	16 - Charente	3 - Confolens	211602925 - Ruffec	200043016	CC Val de Charente	CC	0	0	2014-01-01	2014-01-01	RDC		32	14088	27	FPU	M.	Thierry	BASTIER	
75 - Nouvelle Aquitaine	16 - Charente	1 - Angoulême	211602230 - Montbron	200068914	CC La Rochefoucauld Porte du Périgord	CC	0	0	2016-11-22	2017-01-01	RDC		27	22152	31	FPU	M.	Jean Marc	BROUILLET	
75 - Nouvelle Aquitaine	16 - Charente	1 - Angoulême	200063105 - Montmoreau	200070282	CC Lavalette Tude Dronne	CC	0	0	2016-12-08	2017-01-01	RDC		50	17890	30	FPU	M.	Jean-Yves Bernard	AMBAUD	
75 - Nouvelle Aquitaine	16 - Charente	3 - Confolens	211603832 - Tourriers	200072023	CC Coeur de Charente	CC	0	0	2016-12-19	2017-01-01	RDC		50	22276	28	AAZAE	M.	Christian	CROIZARD	
75 - Nouvelle Aquitaine	16 - Charente	3 - Confolens	200054047 - Confolens	200072049	CC de Charente Limousine	CC	0	0	2016-12-20	2017-01-01	RDC		58	36185	25	AAZSE	M.	Benoît	SAVY	
75 - Nouvelle Aquitaine	16 - Charente	2 - Cognac	200085249 - Rouillac	241600303	CC du Rouillacais	CC	0	0	1992-12-31	1992-12-31	RDC		13	10001	25	FPU	M.	Christian	VIGNAUD	
75 - Nouvelle Aquitaine	16 - Charente	1 - Angoulême	211601661 - L'Isle-d'Espagnac	200001147	SIVU en faveur de l'enfance et de la jeunesse (SIVU enfance jeunesse)	SIVU	1	0	2005-12-30	2005-12-30	MEMNB		4	16659	1	CBUDG	Mme	Alexia	RIFFE	
