Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213105554 - Toulouse	243100518	Toulouse Métropole	METRO	0	0	2008-12-24	2008-12-31	RDC		37	828373	60	FPU	M.	Jean-Luc	MOUDENC	
76 - Occitanie	31 - Haute-Garonne	1 - Muret	213103955 - Muret	200068641	CA Le Muretain Agglo	CA	0	0	2016-11-24	2017-01-01	RDC		26	128773	42	FPU	M.	André	MANDEMENT	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213102544 - Labège	243100633	CA du Sicoval	CA	0	0	2000-09-21	2001-01-01	RDC		36	84556	51	FPU	M.	JACQUES	OBERTI	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213100795 - Bouloc	200034957	CC du Frontonnais	CC	0	0	2012-11-27	2012-11-27	RDC		10	28705	24	FPU	M.	Hugo	CAVAGNAC	
76 - Occitanie	31 - Haute-Garonne	1 - Muret	213101074 - Carbonne	200066819	CC du Volvestre	CC	0	0	2016-10-19	2017-01-01	RDC		32	31322	23	AAZSE	M.	Denis	TURREL	
76 - Occitanie	31 - Haute-Garonne	1 - Muret	213100332 - Auterive	200068807	CC du Bassin Auterivain Haut-Garonnais	CC	0	0	2016-11-24	2017-01-01	ACCOR		19	34259	26	FPU	M.	Serge	BAURENS	
76 - Occitanie	31 - Haute-Garonne	1 - Muret	213101355 - Cazères	200068815	CC Coeur de Garonne	CC	0	0	2016-11-24	2017-01-01	ACCOR		48	35690	25	FPU	M.	Paul-Marie	BLANC	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213105828 - Villefranche-de-Lauragais	200071298	CC des Terres du Lauragais	CC	0	0	2016-12-12	2017-01-01	RDC		58	42695	30	FPU	M.	CHRISTIAN	PORTER	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213102320 - Grenade	200071314	CC des Hauts-Tolosans	CC	0	0	2016-12-05	2017-01-01	RDC		29	36219	23	FPU	M.	Jean-Paul	DELMAS	
76 - Occitanie	31 - Haute-Garonne	2 - Saint-Gaudens	213102247 - Gourdan-Polignan	200072635	CC Pyrénées Haut Garonnaises	CC	0	0	2016-12-16	2017-01-01	RDC		76	16067	30	FPU	M.	Alain	PUENTE	
76 - Occitanie	31 - Haute-Garonne	2 - Saint-Gaudens	213104839 - Saint-Gaudens	200072643	CC Coeur et Coteaux du Comminges	CC	0	0	2016-12-16	2017-01-01	RDC		104	45280	30	FPU	Mme	Magali	GASTO-OUSTRIC	
76 - Occitanie	31 - Haute-Garonne	2 - Saint-Gaudens	213103153 - Mane	200073146	CC Cagire Garonne Salat	CC	0	0	2016-12-27	2017-01-01	RDC		55	18338	31	FPU	M.	François	ARCANGELI	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213104516 - Revel	243100567	CC Aux sources du Canal du Midi	CC	0	1	1994-09-30	2002-01-01	RDC		28	22297	27	FPU	M.	LAURENT	HOURQUET	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213102288 - Gragnague	243100732	CC des Coteaux du Girou	CC	0	0	1998-12-22	1999-01-01	RDC		18	23337	29	FPU	M.	Daniel	CALAS	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213105844 - Villemur-sur-Tarn	243100773	CC Val'Aïgo	CC	0	0	1999-12-17	1999-12-17	RDC		9	18628	33	FPU	M.	Jean-Marc	DUMOULIN	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213104243 - Plaisance-du-Touch	243100781	Le Grand Ouest Toulousain	CC	0	0	1999-12-24	2000-01-01	RDC		8	49463	23	FPU	M.	Philippe	GUYOT	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213104102 - Pechbonnieu	243100815	CC des Coteaux Bellevue	CC	0	0	2000-11-21	2000-11-21	RDC		7	21457	21	FPU	Mme	Sabine	GEIL-GOMEZ	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213105844 - Villemur-sur-Tarn	200068823	SI des eaux de Villemur-sur-Tarn	SIVU	0	0	2016-11-28	2017-01-01	AUTR	au prorata du nombre d'abonnés du service public de l'eau potable et par strates d'abonnés	6	13385	1	CBUDG	M.	Jean-Marc	DUMOULIN	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213102320 - Grenade	200072114	SI des eaux des vallées du Girou, de l'Hers, de la Save et des coteaux de Cadours	SIVU	0	0	2016-12-16	2017-01-01	MEMNB		40	60332	1	CBUDG	M.	Jacques	LAMARQUE	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213100985 - Cadours	200091205	SIVOS du Pays de Cadours	SIVU	0	0	2019-12-13	2020-01-01	AUTR	Chaque commune représentée par 1 délégué excepté les communes de Brignempnt Cadours et Cox qui disposent d'une école pré-élémentaire et/ou élémentaire	11	3921	3	CBUDG	M.	DIdier	LAFFONT	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213101504 - Cornebarrieu	243100260	SIVU de la vallée de l'Aussonnelle	SIVU	1	0	1966-06-11	1966-06-11	MEMNB		5	68670	1	CBUDG	M.	ALAIN	TOPPAN	
76 - Occitanie	31 - Haute-Garonne	1 - Muret	213103039 - Longages	253100184	SI d'action sociale en milieu rural du Carbonnais (SIASCAR)	SIVU	0	0	1979-11-14	1979-11-14	MEMNB		8	8218	1	CBUDG	M.	Jean-Louis	EYCHENNE	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213105554 - Toulouse	253100804	SIVU des eaux des cantons Centre et Nord de Toulouse	SIVU	0	0	1953-03-18	1958-03-18	MEMNB		8	24475	1	CBUDG	M.	BERTRAND	SARRAU	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213104243 - Plaisance-du-Touch	253101117	SI des transports public de la région Toulousaine (SITPRT)	SIVU	0	0	1972-06-29	1972-06-29	MEMNB		9	51521	1	CBUDG	M.	Philippe	GUYOT	
76 - Occitanie	31 - Haute-Garonne	2 - Saint-Gaudens	213102478 - Labarthe-Rivière	253101539	SI d'étude d'aménagement hydraulique de la Plaine de rivière	SIVU	0	0	1978-09-19	1978-09-19	MEMNB		4	2995	1	CBUDG	M.	Pierre	TECHENE	
76 - Occitanie	31 - Haute-Garonne	3 - Toulouse	213103583 - Montastruc-la-Conseillère	253101745	SIVU du collège Georges Brassens	SIVU	0	0	2014-10-10	2014-10-10	MEMNB		10	11164	1	CBUDG	M.	Didier	CUJIVES	
