Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
53 - Bretagne	29 - Finistère	3 - Morlaix	212900385 - Commana	252900154	SI d'eau et d'assainissement de Commana (SIEAC)	SIVU	0	0	1956-07-12	1956-07-12	MEMNB		2	2040	2	CBUDG	M.	Philippe	GUEGUEN	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901318 - Locmélar	252900170	SI eaux de Locmélar Saint-Sauveur	SIVU	0	0	1958-11-21	1958-11-21	MEMNB		2	1306	1	CBUDG	M.	Bruno	CADIOU	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902134 - Plouzévédé	252900196	SI eaux de Plouzévédé	SIVU	0	0	1957-01-24	2011-12-01	MEMNB		4	3698	2	CBUDG	M.	Laurent	GUEGUEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902183 - Pont-Croix	252900238	SI des eaux du Goyen	SIVU	0	0	1956-07-13	2009-08-19	MEMNB		5	11251	1	CBUDG	M.	Yves	KERISIT	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900534 - Le Faou	252900436	SI d'abattage de la région du Faou	SIVU	0	0	1956-12-07	2011-02-10	MEMNB		6	12022	1	CBUDG	M.	Mickael	KERNEIS	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212901417 - Loqueffret	252900550	SI eaux de Kerbalaen	SIVU	0	0	1975-12-02	2009-07-08	MEMNB		2	663	1	CBUDG	M.	Louis Marie	LE GUILLOU	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212901755 - Plonévez-du-Faou	252900667	SI d'éclairage et de communications électroniques	SIVU	1	0	1934-02-01	2008-09-18	MEMNB		21	25505	5	CBUDG	M.	Denis	SALAUN	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901136 - Lanmeur	252900808	Syndicat intercommunal de voirie de Lanmeur	SIVU	0	0	1948-03-02	1948-03-02	MEMNB		9	10564	1	CBUDG	M.	Joseph	IRRIEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902746 - Scaër	252901152	SI soins aux malades de la région de Scaër	SIVU	0	0	1966-05-25	1966-05-25	MEMNB		4	14922	1	CBUDG	M.	Jean-Yves	LE GOFF	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902068 - Plounévez-Lochrist	252901202	SI de la baie de Goulven	SIVU	0	0	1969-06-21	1969-06-21	MEMNB		2	3356	1	CBUDG	M.	Roger	BOSSARD	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902761 - Sibiril	252901525	SI eaux et assainissement de Cléder - Sibiril	SIVU	0	0	1960-08-13	1960-08-13	MEMNB		2	4904	2	CBUDG	M.	Jacques	EDERN	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900245 - Carhaix-Plouguer	252901830	SI action sociale et culturelle	SIVU	0	1	1985-05-30	1985-05-30	AUTR	Défini par les statuts	15	19465	3	CBUDG	Mme	Hélène	GUILLEMOT	
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	252901848	Syndicat d'informatique du Finistère	SIVU	0	1	1986-04-08	1986-04-08	MEMNB		98	144905	1	CBUDG	Mme	Odette	CASTEL	
53 - Bretagne	29 - Finistère	1 - Brest	212900195 - Brest	252901897	SI vélodrome de Brest-Ponant-Iroise	SIVU	0	0	1986-06-27	1986-06-27	AUTR	Fixé par les statuts	14	204644	1	CBUDG	M.	Patrick	APPERE	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901052 - Landivisiau	252902044	SI assainissement de Landivisiau Lampaul-Guimiliau	SIVU	0	0	1980-12-19	1980-12-19	MEMNB		2	11570	1	CBUDG	M.	Sébastien	JEZEQUEL	
53 - Bretagne	29 - Finistère	4 - Quimper	212901706 - Plomelin	252902085	SI pour construction et gestion maison retraite Plomelin	SIVU	0	0	1989-11-10	2009-06-03	MEMNB		2	8668	1	CBUDG	M.	Christian	BARGAIN	
53 - Bretagne	29 - Finistère	4 - Quimper	212901359 - Loctudy	252902101	SI de Loctudy et de Plobannalec	SIVU	0	0	1989-12-10	1989-12-10	AUTR	Fixé par les statuts	2	7849	1	CBUDG	Mme	Christelle	DERRIEN	
53 - Bretagne	29 - Finistère	1 - Brest	212902357 - Le Relecq-Kerhuon	252902119	SI des pompes funèbres des communes associées région brestoise	SIVU	0	0	1989-11-06	2008-09-15	AUTR	Fixé par les statuts	14	248519	2	CBUDG	M.	Renaud	SARRABEZOLLES	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900245 - Carhaix-Plouguer	252902176	SI de production d'eau du Stanger	SIVU	0	0	1991-05-16	1991-05-16	AUTR	Fixé par les statuts	4	11335	1	CBUDG	M.	Hervé	PHILIPPE	
53 - Bretagne	29 - Finistère	1 - Brest	212900757 - Guipavas	252902333	SIVU des rives de l'Élorn	SIVU	0	0	1993-03-12	2011-02-10	MEMNB		2	27830	1	CBUDG	M.	Fabrice	JACOB	
53 - Bretagne	29 - Finistère	3 - Morlaix	212902027 - Plounéour-Ménez	252902424	SI du Queffleuth	SIVU	0	0	1993-05-26	1993-05-26	MEMNB		5	13186	1	CBUDG	Mme	Laurent	FONTANIER	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901052 - Landivisiau	252902572	SIVU du centre de secours à Landivisiau	SIVU	0	0	2000-10-27	2000-10-27	POPUL		9	20620	1	CBUDG	Mme	Laurence	CLAISSE	
53 - Bretagne	29 - Finistère	1 - Brest	212900435 - Daoulas	252902630	SIVU pour la restauration intercommunale du Pays de Landerneau-Daoulas et de l'Aulne maritime (SIVURIC)	SIVU	0	0	2002-10-17	2002-10-17	MEMNB		6	14378	1	CBUDG	Mme	Nathalie	ABIVEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212900203 - Briec	252902663	SIVU pour la construction du centre de secours de Briec	SIVU	0	0	2004-04-29	2004-04-29	POPUL		7	14156	1	CBUDG	M.	Thomas	FEREC	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900260 - Châteaulin	252902713	SIVU pour la construction d'un centre de secours à Châteaulin	SIVU	0	0	2005-07-20	2005-07-20	MEMNB		11	18510	1	CBUDG	M.	Jean-Pierre	JUGUET	
53 - Bretagne	29 - Finistère	4 - Quimper	212900203 - Briec	200072841	SIVOM du Pays Glazik	SIVOM	0	0	2016-12-22	2017-01-01	AUTR	défini par les statuts	5	11877	5	CBUDG	M.	Thomas	FEREC	
53 - Bretagne	29 - Finistère	4 - Quimper	212900377 - Combrit	242900058	SIVOM de Combrit-Sainte-Marine - Ile-Tudy	SIVOM	0	0	1978-07-28	2013-01-11	AUTR	Fixé par les statuts	2	5135	3	CBUDG	M.	Christian	LOUSSOUARN	
53 - Bretagne	29 - Finistère	4 - Quimper	200054724 - Audierne	242900066	SIVOM de la baie d'Audierne	SIVOM	0	0	1968-08-23	1968-08-23	POPUL		3	9377	2	CBUDG	M.	Gurvan	KERLOC'H	
53 - Bretagne	29 - Finistère	1 - Brest	212901805 - Ploudiry	242900546	SI du plateau de Ploudiry	SIVOM	1	0	1979-12-10	2012-01-01	POPUL		7	3683	7	CBUDG	M.	Georges	PHILIPPE	
53 - Bretagne	29 - Finistère	4 - Quimper	212902746 - Scaër	242913333	SIVOM de la région de Scaër	SIVOM	0	0	1949-05-03	2000-06-23	MEMNB		4	13264	2	CBUDG	M.	Guy	FAOUCHER	
53 - Bretagne	29 - Finistère	4 - Quimper	212902928 - Tréguennec	200019073	SM SAGE Ouest Cornouaille	SMF	1	0	2009-02-27	2009-02-27	AUTR	Défini par les statuts	7	84703	4	CBUDG	M.	Eric	JOUSSEAUME	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900260 - Châteaulin	200030864	EPAB établissement public de gestion et d'aménagement de la baie de Douarnenez	SMF	0	0	2011-12-27	2011-12-27	AUTR	Répartition définie par les statuts	7	42607	1	CBUDG	M.	Joël	BLAIZE	
53 - Bretagne	29 - Finistère	1 - Brest	212901243 - Lesneven	200039360	SM du pôle aquatique Abers-Lesneven	SMF	0	0	2013-07-25	2013-07-25	MEMNB		2	70961	1	CBUDG	Mme	Claudie	BALCON	
53 - Bretagne	29 - Finistère	4 - Quimper	212900393 - Concarneau	200045375	SM pour la construction d'un centre de secours et d'incendie à Concarneau	SMF	0	0	2009-07-24	2009-07-24	AUTR	CONCARNEAU:4 LA FORET FOUESNANT:1 TREGUNC:2	3	58774	1	CBUDG	M.	Yann	ALLOT	
53 - Bretagne	29 - Finistère	4 - Quimper	212900468 - Douarnenez	200076248	SM construction centre de secours et d'incendie à Douarnenez	SMF	0	0	2017-09-01	2017-09-01	MEMNB		11	25094	1	CBUDG	Mme	Françoise	LAOUENAN LE LEC	
53 - Bretagne	29 - Finistère	1 - Brest	212902456 - Saint-Divy	200082196	SM du Spernel	SMF	0	0	2018-07-24	2018-07-24	MEMNB		5	5103	1	CBUDG	M.	Marc	JEZEQUEL	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901938 - Plougourvest	200092914	SM d'eau potable de Pont-An-Ilis	SMF	0	0	2020-01-24	2020-01-24	MEMNB		8	9386	1	CBUDG	M.	Jean	JEZEQUEL	
53 - Bretagne	29 - Finistère	4 - Quimper	212900633 - Goulien	200095214	SM des eaux du Nord Cap Sizun	SMF	0	0	2021-02-03	2021-02-03	MEMNB		5	3949	1	CBUDG	M.	Henri	GOARDON	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901847 - Plouénan	252900972	SM de production et transport d'eau de l'Horn	SMF	1	0	1971-12-01	2011-12-01	AUTR	Fixé par les statuts	11	47174	5	CBUDG	M.	François	MOAL	
53 - Bretagne	29 - Finistère	1 - Brest	212900930 - Kernilis	252901061	Syndicat des eaux du Bas-Léon	SMF	1	0	1971-05-27	2012-03-01	AUTR	Fixé par les statuts	9	455420	7	CBUDG	Mme	Marguerite	LAMOUR	
53 - Bretagne	29 - Finistère	3 - Morlaix	212901052 - Landivisiau	252901079	SM production transport eau de Landivisiau	SMF	0	0	1967-12-08	1967-12-08	AUTR	Fixé par les statuts	3	20956	1	CBUDG	M.	Ronan	LUNVEN	
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	252901145	Syndicat départemental d'énergie et d'équipement du Finistère	SMF	1	0	1948-12-10	2010-07-06	POPUL		253	730254	2	CBUDG	M.	Antoine	COROLLEUR	
53 - Bretagne	29 - Finistère	2 - Châteaulin	212900245 - Carhaix-Plouguer	252901368	SI repurgation du Centre Ouest Bretagne	SMF	1	1	1983-07-29	2010-04-01	POPUL		4	58223	1	CBUDG	M.	Christian	TROADEC	
53 - Bretagne	29 - Finistère	4 - Quimper	212900393 - Concarneau	252901871	VALCOR	SMF	1	0	1986-04-28	2008-08-01	POPUL		7	234135	1	CBUDG	M.	Guy	PAGNARD	
53 - Bretagne	29 - Finistère	4 - Quimper	212902324 - Quimper	252901996	SI incinération des déchets du Pays de Quimper (SIDEPAQ)	SMF	0	0	1988-05-17	1988-05-17	POPUL		3	151653	1	CBUDG	M.	Thomas	FEREC	
