Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
44 - Grand Est	68 - Haut-Rhin	4 - Mulhouse	216802249 - Mulhouse	200066009	CA Mulhouse Alsace Agglomération	CA	0	0	2016-06-15	2017-01-01	RDC		39	276696	37	FPU	M.	Fabian	JORDAN	
44 - Grand Est	68 - Haut-Rhin	4 - Mulhouse	216802975 - Saint-Louis	200066058	CA Saint-Louis Agglomération	CA	0	0	2016-06-09	2017-01-01	RDC		40	84947	47	FPU	M.	Jean-Marc	DEICHTMANN	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216800664 - Colmar	246800726	CA Colmar Agglomération	CA	0	0	2003-10-24	2003-11-01	RDC		20	115921	36	FPU	M.	Eric	STRAUMANN	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216800631 - Cernay	200036465	CC de Thann-Cernay	CC	0	0	2012-12-31	2013-01-01	RDC		16	38412	38	FPU	M.	François	HORNY	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216803528 - Volgelsheim	200066025	CC Alsace Rhin Brisach	CC	0	0	2016-06-09	2017-01-01	RDC		29	34434	41	FPU	M.	Gérard	HUG	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800680 - Dannemarie	200066033	CC Sud Alsace Largue	CC	0	0	2016-06-15	2017-01-01	RDC		44	22737	37	FPU	M.	Vincent	GASSMANN	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800045 - Altkirch	200066041	CC Sundgau	CC	0	0	2016-06-15	2017-01-01	RDC		64	48759	33	FPU	M.	Gilles	FREMIOT	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802926 - Saint-Amarin	246800205	CC de la Vallée de Saint-Amarin	CC	0	0	1999-12-31	1999-12-31	RDC		15	12301	39	FPU	M.	Cyrille	AST	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802942 - Sainte-Croix-aux-Mines	246800395	CC du Val d'Argent	CC	0	0	2000-12-22	2001-01-01	ACCOR		4	9483	34	FPU	M.	Jean-Marc	BURRUS	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216800821 - Ensisheim	246800445	CC du Centre du Haut-Rhin	CC	0	0	2002-02-04	2002-02-04	RDC		9	16501	27	FPU	M.	Michel	HABIG	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802876 - Rouffach	246800494	CC du Pays de Rouffach, Vignobles et Châteaux	CC	0	0	1993-12-14	1994-01-01	RDC		11	13328	32	AAZSE	M.	Jean-Pierre	TOUCAS	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	200052603 - Kaysersberg Vignoble	246800551	CC de la Vallée de Kaysersberg	CC	0	0	1995-12-29	1996-01-01	RDC		8	16420	41	FPU	M.	Philippe	GIRARDIN	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216801126 - Guebwiller	246800569	CC de la Région de Guebwiller	CC	0	0	2000-11-29	2001-01-01	RDC		19	38987	36	FPU	M.	Marcello	ROTOLO	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802694 - Ribeauvillé	246800577	CC du Pays de Ribeauvillé	CC	0	0	1996-05-30	1996-06-01	RDC		16	18588	36	FPU	M.	Umberto	STAMILE	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802264 - Munster	246800585	CC de la Vallée de Munster	CC	0	0	1996-05-30	1996-05-30	RDC		16	16545	37	FPU	M.	Norbert	SCHICKEL	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	200059434 - Masevaux-Niederbruck	246800676	CC de la Vallée de la Doller et du Soultzbach	CC	0	0	2001-12-17	2002-01-01	RDC		15	16259	35	FPU	M.	Christophe	BELTZUNG	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216800896 - Fellering	200007946	SI des sapeurs-pompiers du centre de première intervention du Chauvelin	SIVU	0	0	2007-02-23	2007-02-23	MEMNB		5	3668	1	CBUFI	M.	Jacques	KARCHER	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216801670 - Kirchberg	200016541	Syndicat intercommunal scolaire Les Castors	SIVU	0	0	2008-08-18	2008-08-18	MEMNB		3	1391	1	CBUDG	M.	Gilles	BOEGLIN	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800987 - Friesen	200016590	syndicat des quatre Ecoles Frisen -Hindlingen -Largitzen - Ueberstrass	SIVU	0	0	2008-08-19	2008-08-19	MEMNB		4	1997	1	AUCUN	Mme	Isabelle	ANDRE	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216803858 - Zimmerbach	200020337	SIVU de gestion de l'accueil périscolaire Les Lutins du Hohnack	SIVU	0	0	2009-06-03	2009-06-03	MEMNB		2	1803	1	CBUDG	M.	Benjamin	HUIN-MORALES	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216803320 - Tagolsheim	200021954	SI de gestion scolaire Tagolsheim-Walheim	SIVU	0	0	2009-09-01	2009-09-01	MEMNB		2	1895	1	CBUDG	Mme	Corinne	BEARENZUNG	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802744 - Rimbach-près-Guebwiller	200024941	SI des sapeurs-pompiers du vallon du Rimbach	SIVU	0	0	2010-04-22	2010-04-22	MEMNB		3	1337	1	CBUDG	M.	Alain	FURSTENBERGER	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216801233 - Hattstatt	200025781	SIVU des 3 châteaux	SIVU	0	0	2010-08-19	2010-08-19	MEMNB		5	3121	1	CBUDG	M.	Pascal	DI STEFANO	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216801407 - Hirtzfelden	200027928	SI des sapeurs-pompiers du Centre Hardt	SIVU	0	0	2011-02-17	2011-02-17	MEMNB		3	2751	1	CBUDG	M.	Vincent	NAEGELEN	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216800516 - Breitenbach-Haut-Rhin	200028785	SIVU du RP des communes de Breitenbach et luttenbach	SIVU	0	0	2011-05-27	2011-05-27	MEMNB		2	1603	1	CBUDG	Mme	Catherine	CLAUDEPIERRE	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800672 - Courtavon	200031300	SI du CPI de la Haute-Largue	SIVU	0	0	2012-02-02	2012-02-02	MEMNB		3	746	1	CBUDG	M.	Hervé	WALTER	
44 - Grand Est	68 - Haut-Rhin	4 - Mulhouse	216801746 - Landser	200031474	SI des sapeurs-pompiers de Landser, Schlierbach et Dietwiller	SIVU	0	0	2012-02-22	2012-02-22	MEMNB		3	4455	1	CBUDG	M.	Christian	FRANTZ	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802967 - Saint-Hippolyte	200033280	SI des sapeurs-pompiers de Saint-Hippolyte, Rorschwihr	SIVU	0	0	2012-09-06	2012-09-06	MEMNB		2	1352	1	CBUDG	M.	Claude	HUBER	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802348 - Niederentzen	200039394	SI des sapeurs-pompiers de Niederentzen - Oberentzen	SIVU	0	0	2013-06-28	2013-06-28	MEMNB		2	1475	1	CBUDG	M.	Jean-Pierre	WIDMER	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802314 - Neuf-Brisach	200041713	SIAEP de la plaine du Rhin	SIVU	0	0	2014-01-01	2014-01-01	MEMNB		17	21230	1	CBUDG	M.	Dominique	SCHMITT	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216803684 - Wihr-au-Val	200045441	SI des Sapeurs-Pompiers de l'Entrée de la Vallée de Munster	SIVU	0	0	2014-01-30	2014-02-01	MEMNB		3	2888	1	CBUDG	M.	André	TINGEY	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216803031 - Schwoben	200047124	SI des sapeurs-pompiers de Schwoben, Tagsdorf, Heiwiller, Wittersdorf, Emlingen	SIVU	0	0	2014-07-31	2014-07-31	MEMNB		5	1829	1	CBUDG	M.	Jean-François	FOERBACHER	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216803064 - Seppois-le-Haut	200053189	SI scolaire de Mooslargue - Seppois-le-Haut	SIVU	0	0	2015-08-27	2015-09-01	MEMNB		2	939	3	CBUDG	Mme	Catherine	PETER	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216800235 - Beblenheim	200053205	SI des sapeurs-pompiers du Mandelberg	SIVU	0	0	2015-09-03	2015-09-03	MEMNB		3	3179	1	CBUDG	M.	Antoine	KLEIM	
44 - Grand Est	68 - Haut-Rhin	1 - Altkirch	216800656 - Chavannes-sur-l'Étang	200094704	SI des affaires scolaires de Chavannes-sur-l'Étang et Montreux-Vieux	SIVU	0	0	2020-12-14	2020-12-14	MEMNB		2	1607	2	CBUDG	M.	Vincent	GASSMANN	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216801043 - Geiswasser	200101145	SIVOS Obersaasheim-Geiswasser	SIVU	0	0	2023-09-01	2023-09-01	MEMNB		2	1367	2	CBUFI	M.	Stéphane	FOECHTERLE	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802421 - Oberhergheim	256800087	SIVOS des communes d'Oberhergheim, Biltzheim Niederentzen et Oberentzen	SIVU	0	0	1978-04-24	1978-04-24	MEMNB		4	3285	3	CBUDG	M.	Bernard	BRENDLE	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802918 - Rumersheim-le-Haut	256800129	SIAEP de Bantzenheim - Rumersheim-le-Haut	SIVU	0	0	1947-07-21	1947-07-21	MEMNB		2	2736	1	CBUDG	M.	Thomas	THUET	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802256 - Munchhouse	256800178	SIAEP de Munchhouse et environs	SIVU	0	0	1954-12-04	1954-12-04	MEMNB		4	4339	1	CBUDG	Mme	Anne	BRINGIA	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216801555 - Ingersheim	256800210	SI des affaires culturelles et scolaires d'Ingersheim et environs	SIVU	0	0	1976-06-04	1976-06-04	MEMNB		4	78106	1	CBUDG	M.	Daniel	SCHOEPFF	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216801753 - Lapoutroie	256800244	SI d'intérêt agricole du canton de Lapoutroie	SIVU	0	0	1955-07-05	1955-07-05	MEMNB		5	9705	1	CBUDG	M.	Jean-Charles	ANCEL	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802041 - Metzeral	256800269	SI de l'église de l'Emm de Metzeral - Sondernach	SIVU	0	0	1927-06-28	1927-06-28	MEMNB		2	1665	1	CBUDG	Mme	Denise	BUHL	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216803163 - Soultzbach-les-Bains	256800293	SI des eaux de Soultzbach-les-Bains - Wihr-au-Val	SIVU	0	0	1955-12-27	1955-12-27	MEMNB		2	2000	1	CBUDG	M.	Gabriel	BURGARD	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802314 - Neuf-Brisach	256800327	SIAEP de Balgau - Fessenheim - Nambsheim	SIVU	0	0	1952-04-12	1952-04-12	MEMNB		3	3903	1	CBUDG	M.	Eric	SCHWEIN	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216802090 - Mittelwihr	256800368	SI du Parc des Sports de Mittelwihr et environs	SIVU	0	0	1953-06-04	1953-06-04	MEMNB		4	3190	3	CBUDG	M.	Alain	KLEINDIENST	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802033 - Merxheim	256800475	SIAEP d'Ensisheim Bollwiller et environs   	SIVU	0	0	1927-07-20	1927-07-20	AUTR	Le nombre de sièges résulte des statuts	9	24029	1	CBUDG	M.	Michel	HABIG	
44 - Grand Est	68 - Haut-Rhin	2 - Colmar-Ribeauvillé	216803650 - Wettolsheim	256800525	SI forestier du massif des châteaux	SIVU	0	0	1955-09-29	1955-09-29	MEMNB		6	81700	1	CBUDG	M.	Edouard	LEIBER	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216801159 - Guewenheim	256800558	SI d'assainissement de Lauw, Sentheim et Guewenheim	SIVU	0	0	1977-01-26	1977-01-26	MEMNB		3	3877	1	CBUDG	M.	Francis	MARANZANA	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	200053478 - Aspach-Michelbach	256800582	Syndicat scolaire de la petite Doller des communes d'Aspach-le-Bas, Schweighouse-Thann, Aspach-Michelbach	SIVU	0	0	1975-06-17	1975-06-17	MEMNB		3	3901	5	CBUDG	Mme	Annie	DELTATTO	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216800607 - Burnhaupt-le-Haut	256800590	SI de la maison forestière de Burnhaupt-le-Haut	SIVU	0	0	1956-12-15	1956-12-15	MEMNB		6	7593	1	CBUDG	M.	Joseph	SCHNOEBELEN	
44 - Grand Est	68 - Haut-Rhin	4 - Mulhouse	216803759 - Wittelsheim	256800616	SI scolaire du secteur de Wittelsheim	SIVU	0	0	1970-01-09	1970-01-09	AUTR	Le nombre de sièges résulte des statuts	3	18326	2	CBUDG	M.	Denis	ZIEGLER	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216801670 - Kirchberg	256800624	SI de Kirchberg - Wegscheid	SIVU	0	0	1978-06-16	1978-06-16	MEMNB		2	1058	1	CBUDG	M.	Cédric	GARNIER	
44 - Grand Est	68 - Haut-Rhin	6 - Thann-Guebwiller	216802397 - Oberbruck	256800632	SI de la  maison forestière d'Oberbruck   	SIVU	0	0	1956-12-15	1956-12-15	MEMNB		6	6120	1	CBUDG	M.	Jacques	BEHRA	
