Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214401093 - Nantes	244400404	Nantes Métropole	METRO	0	0	1991-10-25	1991-10-25	ACCOR		24	689424	60	FPU	Mme	Johanna	ROLLAND	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401317 - Pornic	200067346	CA Pornic Agglo Pays de Retz	CA	0	0	2017-01-01	2017-01-01	ACCOR		15	69208	38	FPU	M.	Jean-Michel	BRARD	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214400434 - Clisson	200067635	CA Clisson Sèvre et Maine Agglo	CA	0	0	2017-01-01	2017-01-01	ACCOR		16	58565	47	FPU	M.	Jean-Guy	CORNU	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214400558 - La Baule-Escoublac	244400610	CA de la Presqu'île de Guérande Atlantique (Cap Atlantique)	CA	0	1	2002-12-30	2002-12-30	ACCOR		15	78604	43	FPU	M.	Nicolas	CRIAUD	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401846 - Saint-Nazaire	244400644	CA de la Région Nazairienne et de l'Estuaire (CARENE)	CA	0	0	2000-12-31	2000-12-31	ACCOR		10	132232	48	FPU	M.	David	SAMZUN	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401291 - Pontchâteau	200000438	CC du Pays de Pontchâteau St-Gildas-des-Bois	CC	0	0	2005-12-12	2005-12-31	ACCOR		9	36959	33	FPU	M.	Jean-Louis	MOGAN	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214402125 - Vallet	200067866	CC Sèvre et Loire	CC	0	0	2016-11-17	2017-01-01	ACCOR		11	50696	43	FPU	Mme	Christelle	BRAUD	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	200056455 - Machecoul-Saint-Même	200071546	CC Sud Retz Atlantique	CC	0	0	2016-12-15	2017-01-01	ACCOR		8	25944	39	FPU	M.	Laurent	ROBIN	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214400368 - Châteaubriant	200072726	CC Châteaubriant-Derval	CC	0	0	2016-12-22	2017-01-01	ACCOR		26	45985	37	FPU	M.	Alain	HUNAULT	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401952 - Savenay	200072734	CC Estuaire et Sillon	CC	0	0	2016-12-22	2017-01-01	RDC		11	41377	27	FPU	M.	Rémy	NICOLEAU	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214400418 - La Chevrolière	244400438	Grand Lieu Communauté	CC	0	0	1993-06-23	1993-06-23	ACCOR		9	42317	34	FPU	M.	Johann	BOBLIN	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214400152 - Blain	244400453	CC du Pays de Blain	CC	0	0	1993-12-08	1993-12-08	ACCOR		4	16934	32	FPU	Mme	Rita	SCHLADT	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214400665 - Grandchamp-des-Fontaines	244400503	CC d'Erdre et Gesvres	CC	0	0	1994-12-13	1994-12-13	ACCOR		12	68269	39	FPU	M.	Yvon	LERAT	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214401135 - Nozay	244400537	CC de Nozay	CC	0	0	1994-12-02	1994-12-02	ACCOR		7	16473	33	FPU	Mme	Claire	THEVENIAU	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	200083228 - Ancenis-Saint-Géréon	244400552	CC du Pays d'Ancenis	CC	0	1	1999-12-16	1999-12-16	ACCOR		20	63810	32	FPU	M.	Maurice	PERRION	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401168 - Paimboeuf	244400586	CC du Sud Estuaire	CC	0	0	1996-06-10	1996-06-10	ACCOR		6	31460	35	FPU	M.	Yannick	MOREZ	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214400095 - Basse-Goulaine	200021376	SIVU du centre aquatique de Basse-Goulaine et de Saint-Sébastien-sur-Loire	SIVU	0	0	2009-07-20	2009-07-20	MEMNB		2	38709	1	CBUDG	M.	Alain	VEY	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214400558 - La Baule-Escoublac	254400815	SI de la fourrière pour animaux de la presqu'île guérandaise	SIVU	0	1	1977-05-12	1977-05-12	MEMNB		22	198174	1	CBUDG	M.	Yves	LINGER	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401358 - Le Pouliguen	254400831	SI pour la création d'un centre de voile à Pen Château	SIVU	0	0	1970-11-16	1970-11-16	MEMNB		3	33568	2	CBUDG	M.	Frédéric	DOUNONT	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214400558 - La Baule-Escoublac	254400849	SI du port de plaisance et de pêche de La Baule - Le Pouliguen	SIVU	0	0	1965-02-16	1965-02-16	MEMNB		2	21138	1	CBUDG	M.	Franck	LOUVRIER	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214400822 - Ligné	254401763	SIVU de la maison de retraite de Ligné (SIVUMARLI)	SIVU	0	0	1986-12-22	1986-12-22	AUTR	Le comité est composé de deux délégués par commune plus un pour Ligné, soit neuf délégués.	4	15533	1	CBUDG	M.	Philippe	ROBIN	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	200083228 - Ancenis-Saint-Géréon	254402688	SIVU de l'enfance	SIVU	0	0	2003-01-10	2003-01-10	MEMNB		4	18778	1	CBUDG	M.	André-Jean	VIEAU	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214400434 - Clisson	254402787	SIVU de la Petite enfance	SIVU	0	0	2004-12-10	2004-12-10	MEMNB		4	19114	1	CBUDG	Mme	Séverine	PROTOIS-MENU	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214400186 - Bouaye	200087690	SIVOM du Pays d'Herbauges	SIVOM	1	0	2019-01-01	2019-01-01	MEMNB		4	17268	2	CBUDG	M.	Jacques	GARREAU	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	200083228 - Ancenis-Saint-Géréon	244400263	SIVOM du canton d'Ancenis	SIVOM	0	0	1983-06-13	1983-06-13	POPUL		6	27583	4	CBUDG	M.	Eric	LUCAS	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214401440 - Riaillé	244400560	SIVOM du secteur de Riaillé	SIVOM	0	0	1995-04-13	1995-04-13	MEMNB		5	9562	5	CBUDG	Mme	Chantal	VINDARD	
52 - Pays de la Loire	44 - Loire-Atlantique	5 - Châteaubriant-Ancenis	214400822 - Ligné	244400669	SIVOM du secteur de Ligné	SIVOM	1	0	2001-08-24	2001-11-26	MEMNB		4	14250	3	CBUDG	Mme	Anne-Marie	CORDIER	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214400699 - Guérande	254401599	SI de la Madeleine	SIVOM	0	0	1981-11-02	1981-11-02	MEMNB		2	21937	8	CBUDG	M.	Nicolas	CRIAUD	
52 - Pays de la Loire	44 - Loire-Atlantique	3 - Saint-Nazaire	214401069 - Les Moutiers-en-Retz	254402662	SIVOM de Bourgneuf - Les Moutiers	SIVOM	0	0	1988-01-25	1988-01-25	MEMNB		2	6937	2	CBUDG	M.	Patrick	GILLET	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214401887 - Saint-Philbert-de-Grand-Lieu	200003317	syndicat Grand-Lieu Estuaire (SGLE)	SMF	1	1	2006-05-31	2006-05-31	POPUL		11	345727	4	CBUDG	M.	Claude	NAUD	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214401143 - Orvault	200014926	Territoire d'énergie Loire Atlantique (TE44)	SMF	0	0	2008-03-13	2008-06-01	POPUL		194	726786	3	CBUDG	M.	Raymond	CHARBONNIER	
52 - Pays de la Loire	44 - Loire-Atlantique	2 - Nantes	214400095 - Basse-Goulaine	200078913	SAEP Vignoble-Grandlieu	SMF	0	1	2017-12-22	2018-01-31	POPUL		29	159937	1	CBUDG	M.	Jean-Marc	JOUNIER	
