Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800339 - Bourges	241800507	CA Bourges Plus	CA	0	0	2002-10-21	2002-10-21	ACCOR		17	104700	44	FPU	Mme	Irène	FELIX	
24 - Centre-Val de Loire	18 - Cher	3 - Vierzon	211800115 - Argent-sur-Sauldre	200000933	CC Sauldre et Sologne	CC	0	0	2005-12-29	2005-12-29	ACCOR		14	14672	20	ASZSE	Mme	RENIER	Laurence	
24 - Centre-Val de Loire	18 - Cher	2 - Saint-Amand-Montrond	211801600 - Nérondes	200007177	CC Pays de Nérondes	CC	0	0	2006-12-29	2007-01-01	RDC		12	4835	24	FPU	M.	Thierry	PORIKIAN	
24 - Centre-Val de Loire	18 - Cher	2 - Saint-Amand-Montrond	211801188 - Jouet-sur-l'Aubois	200011781	CC Portes du Berry entre Loire et Val d'Aubois	CC	0	0	2007-12-13	2007-12-13	ACCOR		12	9638	22	FPU	M.	OLIVIER	HURABIELE	
24 - Centre-Val de Loire	18 - Cher	2 - Saint-Amand-Montrond	211800586 - Châteauneuf-sur-Cher	200027076	CC Arnon Boischaut Cher	CC	0	0	2010-12-21	2011-01-01	RDC		18	8095	22	ASZSE	M.	Dominique	BURLAUD	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211802400 - Sancergues	200032514	CC Berry-Loire-Vauvise	CC	0	0	2012-06-28	2013-01-01	ACCOR		14	5526	24	ASZSE	M.	Jean-Paul	DOUSSET	
24 - Centre-Val de Loire	18 - Cher	2 - Saint-Amand-Montrond	211801972 - Saint-Amand-Montrond	200036135	CC Coeur de France	CC	0	0	2012-10-12	2013-01-01	ACCOR		19	18585	21	FPU	M.	BONE	Daniel	
24 - Centre-Val de Loire	18 - Cher	2 - Saint-Amand-Montrond	211800594 - Le Châtelet	200049484	CC Berry Grand Sud	CC	0	0	2015-01-01	2015-01-01	RDC		32	11692	24	FPU	M.	Jean-luc	BRAHITI	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800032 - Les Aix-d'Angillon	200066330	CC Terres du Haut Berry	CC	0	0	2016-10-14	2017-01-01	ACCOR		30	26575	31	FPU	M.	Christophe	DRUNAT	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211802418 - Sancerre	200069227	CC Pays Fort Sancerrois Val de Loire	CC	0	0	2016-12-05	2017-01-01	RDC		36	18521	23	ASZSE	M.	Laurent	PABIOT	
24 - Centre-Val de Loire	18 - Cher	3 - Vierzon	211801345 - Lury-sur-Arnon	200070571	CC Coeur de Berry	CC	0	0	2017-01-01	2017-01-01	RDC		11	7016	22	AAZSE	M.	Alain	MORNAY	
24 - Centre-Val de Loire	18 - Cher	3 - Vierzon	211802798 - Vierzon	200090561	CC Vierzon-Sologne-Berry	CC	0	0	2019-10-28	2020-01-01	RDC		16	39042	27	FPU	M.	François	DUMON	
24 - Centre-Val de Loire	18 - Cher	1 - Bourges	211800180 - Avord	241800374	CC la Septaine	CC	0	0	1999-12-15	2000-12-01	ACCOR		15	11002	32	FPU	Mme	Sophie	GOGUÉ	
