Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
11 - Île-de-France	95 - Val-d'Oise	2 - Sarcelles	219505278 - Roissy-en-France	200055655	CA Roissy Pays de France	CA	0	1	2015-11-09	2016-01-01	RDC		42	361855	43	FPU	M.	Pascal	DOLL	
11 - Île-de-France	95 - Val-d'Oise	2 - Sarcelles	219504289 - Montmorency	200056380	CA Plaine Vallée	CA	0	0	2015-11-25	2016-01-01	ACCOR		18	186594	37	FPU	M.	Luc	STREHAIANO	
11 - Île-de-France	95 - Val-d'Oise	1 - Argenteuil	219500519 - Beauchamp	200058485	CA Val Parisis	CA	0	0	2015-12-14	2016-01-01	ACCOR		15	288575	44	FPU	M.	Yannick	BOEDEC	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219501277 - Cergy	249500109	CA de Cergy-Pontoise	CA	0	1	1984-07-06	1984-07-06	ACCOR		13	216320	46	FPU	M.	Jean-Paul	JEANDON	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219506581 - Vigny	200035970	CC Vexin Centre	CC	0	0	2012-12-26	2013-01-01	RDC		33	25262	29	FPU	Mme	Nadine	NINOT	
11 - Île-de-France	95 - Val-d'Oise	2 - Sarcelles	219503521 - Luzarches	200073013	CC Carnelle Pays-de-France	CC	0	0	2016-12-20	2017-01-01	RDC		19	33684	28	AAZSE	M.	Patrice	ROBIN	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219500394 - Auvers-sur-Oise	249500430	CC Sausseron Impressionnistes	CC	0	0	2002-12-24	2002-12-24	RDC		15	19341	21	FPU	Mme	Isabelle	MEZIERES	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219505047 - Presles	249500455	CC de la Vallée de l'Oise et des Trois Forêts	CC	0	0	2003-11-17	2003-11-17	ACCOR		9	39517	20	FPU	M.	Sébastien	PONIATOWSKI	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219500527 - Beaumont-sur-Oise	249500489	CC du Haut Val d'Oise	CC	0	0	2004-10-25	2004-10-25	RDC		9	40041	24	FPU	Mme	Catherine	BORGNE	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219503554 - Magny-en-Vexin	249500513	CC du Vexin-Val de Seine	CC	0	0	2005-07-22	2005-07-22	RDC		26	16859	22	FPU	M.	Jean-François	RENARD	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219506581 - Vigny	200018182	SI de la brigade de gendarmerie de Marines	SIVU	0	0	2008-12-22	2008-12-22	MEMNB		20	15756	1	CBUDG	M.	Michel	GUIARD	
11 - Île-de-France	95 - Val-d'Oise	2 - Sarcelles	219500287 - Attainville	200020139	SI de transport scolaire Attainville - Moisselles	SIVU	0	0	2009-05-06	2009-05-06	MEMNB		2	3040	1	CBUDG	M.	Yves	CITERNE	
11 - Île-de-France	95 - Val-d'Oise	2 - Sarcelles	219504305 - Montsoult	200044360	SI de réalisation et de gestion des équipements sportifs pour le CES, le LP et la commune de Montsoult	SIVU	0	0	2013-08-01	2014-01-01	AUTR	Douze communes membres bénéficient d'un délégué titulaire et d'un délégué suppléant.  La commune de Montsoult bénéficie de trois délégués titulaires et de trois délégués suppléants.	10	25755	1	CBUDG	M.	Silvio	BIELLO	
11 - Île-de-France	95 - Val-d'Oise	2 - Sarcelles	219503315 - Lassy	200090108	SI d'études et de réalisations du Pays de France	SIVU	0	0	2019-09-10	2019-09-10	MEMNB		8	2139	1	CBUDG	M.	Cyril	DIARRA	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219506581 - Vigny	200099448	SI des eaux de la Viosne, de l'Aubette et de la Montcient	SIVU	0	0	2023-01-01	2023-01-01	MEMNB		15	11489	1	AUCUN	M.	Norbert	LALLOYER	
11 - Île-de-France	95 - Val-d'Oise	3 - Pontoise	219505047 - Presles	259500056	SI de la vallée du ru de Presles	SIVU	0	0	1977-01-19	1977-01-19	MEMNB		5	11088	1	CBUDG	M.	Pierre	BEMELS	
