Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
76 - Occitanie	48 - Lozère	2 - Mende	214800807 - Langogne	200006930	CC du Haut Allier	CC	0	0	2006-12-07	2006-12-07	ACCOR		10	5427	24	FPU	M.	Francis	CHABALIER	
76 - Occitanie	48 - Lozère	2 - Mende	200085223 - Monts-de-Randon	200069102	CC Randon - Margeride	CC	0	0	2016-11-30	2017-01-01	RDC		15	5370	19	FPU	M.	Francis	SAINT-LEGER	
76 - Occitanie	48 - Lozère	2 - Mende	200062545 - Mont Lozère et Goulet	200069128	CC Mont Lozère	CC	0	1	2016-11-30	2017-01-01	RDC		21	5909	23	FPU	M.	Jean	DE LESCURE	
76 - Occitanie	48 - Lozère	1 - Florac	214800518 - Le Collet-de-Dèze	200069136	CC des Cévennes au Mont Lozère	CC	0	0	2016-11-30	2017-01-01	RDC		19	5239	34	FPU	M.	Michel	REYDON	
76 - Occitanie	48 - Lozère	2 - Mende	200064731 - Peyre en Aubrac	200069144	CC des Hautes Terres de l'Aubrac	CC	0	0	2016-11-30	2017-01-01	RDC		17	5216	20	FPU	M.	Alain	ASTRUC	
76 - Occitanie	48 - Lozère	1 - Florac	200056927 - Florac Trois Rivières	200069151	CC Gorges Causses Cévennes	CC	0	0	2016-11-30	2017-01-01	RDC		17	7202	40	FPU	M.	Henri	COUDERC	
76 - Occitanie	48 - Lozère	2 - Mende	214801409 - Saint-Chély-d'Apcher	200069185	CC des Terres d'Apcher-Margeride-Aubrac	CC	0	0	2016-11-30	2017-01-01	RDC		20	11346	25	FPU	M.	Christophe	GACHE	
76 - Occitanie	48 - Lozère	2 - Mende	214800344 - La Canourgue	200069268	CC Aubrac Lot Causses Tarn	CC	0	0	2016-11-30	2017-01-01	RDC		15	8161	18	ASZSE	M.	Jean-Claude	SALEIL	
76 - Occitanie	48 - Lozère	2 - Mende	214800955 - Mende	244800405	CC Coeur de Lozère	CC	0	0	2001-12-14	2001-12-14	ACCOR		7	16508	34	FPU	M.	Laurent	SUAU	
76 - Occitanie	48 - Lozère	2 - Mende	214800922 - Marvejols	244800470	CC du Gévaudan	CC	0	0	2003-12-30	2003-12-31	RDC		12	10072	32	FPU	Mme	Patricia	BREMOND	
76 - Occitanie	48 - Lozère	1 - Florac	214801706 - Saint-Martin-de-Boubaux	200001840	SIVU de Lamelouze - Saint-Martin-de-Boubaux	SIVU	0	1	2006-01-03	2006-01-03	MEMNB		2	342	1	CBUDG	M.	Thierry	SOUSTELLE	
