Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	Civilité Président	Prénom Président	Nom Président
28 - Normandie	14 - Calvados	2 - Caen	211401187 - Caen	200065597	CU Caen la Mer	CU	0	0	2016-07-28	2017-01-01	RDC		48	279420	57	FPU	M.	Joël	BRUNEAU	
28 - Normandie	14 - Calvados	3 - Lisieux	211403662 - Lisieux	200069532	CA Lisieux Normandie	CA	0	0	2016-12-02	2017-01-01	RDC		53	74667	45	FPU	M.	François	AUBEY	
28 - Normandie	14 - Calvados	3 - Lisieux	211402250 - Dives-sur-Mer	200065563	CC Normandie-Cabourg-Pays d'Auge	CC	0	0	2016-07-28	2016-12-01	RDC		39	31915	26	FPU	M.	Olivier	PAZ	
28 - Normandie	14 - Calvados	2 - Caen	211400205 - Argences	200065589	CC Val ès Dunes	CC	0	0	2016-07-28	2017-01-01	RDC		18	19074	28	FPU	M.	Philippe	PESQUEREL	
28 - Normandie	14 - Calvados	2 - Caen	200060572 - Thury-Harcourt-le-Hom	200066710	CC Cingal-Suisse Normande	CC	0	0	2016-10-12	2017-01-01	RDC		42	25195	31	FPU	M.	Jacky	LEHUGEUR	
28 - Normandie	14 - Calvados	2 - Caen	211402573 - Évrecy	200066728	CC Vallées de l'Orne et de l'Odon	CC	0	0	2016-10-12	2017-01-01	RDC		23	26560	27	FPU	M.	Hubert	PICARD	
28 - Normandie	14 - Calvados	1 - Bayeux	211403704 - Le Molay-Littry	200066801	CC Isigny-Omaha Intercom	CC	0	0	2016-10-13	2017-01-01	RDC		59	26854	30	FPU	M.	Patrick	THOMINES	
28 - Normandie	14 - Calvados	3 - Lisieux	211403332 - Honfleur	200066827	CC du Pays de Honfleur-Beuzeville	CC	0	1	2016-09-23	2017-01-01	RDC		23	27666	30	FPU	M.	Michel	LAMARRE	
28 - Normandie	14 - Calvados	4 - Vire	200060176 - Vire Normandie	200068799	CC Intercom de la Vire au Noireau	CC	0	0	2016-11-18	2017-01-01	RDC		17	47767	20	FPU	M.	Marc	ANDREU SABATER	
28 - Normandie	14 - Calvados	1 - Bayeux	200065118 - Creully sur Seulles	200069516	CC Seulles Terre et Mer	CC	0	0	2016-12-02	2017-01-01	RDC		28	17760	26	FPU	M.	Thierry	OZENNE	
28 - Normandie	14 - Calvados	4 - Vire	200066454 - Les Monts d'Aunay	200069524	CC Pré-Bocage Intercom	CC	0	0	2016-12-02	2017-01-01	RDC		27	25162	29	FPU	M.	Gérard	LEGUAY	
28 - Normandie	14 - Calvados	3 - Lisieux	211402201 - Deauville	241400415	CC Coeur Côte Fleurie	CC	0	0	1974-01-15	1974-01-15	RDC		12	21006	24	FPU	M.	Philippe	AUGIER	
28 - Normandie	14 - Calvados	2 - Caen	211402581 - Falaise	241400514	CC du Pays de Falaise	CC	0	0	1993-12-30	1994-01-01	RDC		58	28011	26	FPU	M.	Jean-Philippe	MESNIL	
28 - Normandie	14 - Calvados	1 - Bayeux	211400478 - Bayeux	241400555	CC de Bayeux Intercom	CC	0	0	1993-10-12	1994-01-01	RDC		36	30572	28	FPU	M.	Patrick	GOMONT	
28 - Normandie	14 - Calvados	2 - Caen	211402284 - Douvres-la-Délivrande	241400860	CC Coeur de Nacre	CC	0	0	2002-11-29	2003-01-01	RDC		12	24470	25	FPU	M.	Thierry	LEFORT	
28 - Normandie	14 - Calvados	3 - Lisieux	200086379 - Pont-l'Évêque	241400878	CC Terre d'Auge	CC	0	0	2002-12-11	2003-01-01	RDC		44	20024	30	FPU	M.	Hubert	COURSEAUX	
28 - Normandie	14 - Calvados	2 - Caen	211403100 - Grainville-Langannerie	200002103	SIVU culturel de la Muance	SIVU	0	0	2006-02-17	2006-02-17	POPUL		2	1072	1	CBUDG	Mme	Louise	COUASNON	
28 - Normandie	14 - Calvados	1 - Bayeux	211401690 - Colombiers-sur-Seulles	200025963	SA Colombiers-sur-Seulles et Tierceville (SICOTI)	SIVU	0	0	2010-09-03	2010-09-03	MEMNB		2	1385	1	CBUDG	M.	Pascal	JACQUES	
28 - Normandie	14 - Calvados	2 - Caen	211407648 - Pont-d'Ouilly	200032159	SS de la Here	SIVU	0	0	2012-04-27	2012-04-27	MEMNB		6	1849	2	CBUDG	Mme	Edwige	RIVIERE	
28 - Normandie	14 - Calvados	2 - Caen	211401625 - Clécy	200073476	SIAEP Clécy-Druance	SIVU	0	0	2016-12-29	2017-01-01	AUTR	un délégué titulaire et un suppléant par commune. Les communes nouvelles ont une représentation d'un délégué titulaire et un délégué suppléant par commune déléguée.	20	17759	1	CBUDG	M.	Michel	BAR	
28 - Normandie	14 - Calvados	2 - Caen	200083160 - Cesny-les-Sources	200076677	SIVU secrétariat région de Cesny-Bois-Halbout	SIVU	0	0	1966-04-13	2017-05-19	POPUL		6	2480	1	CBUDG	M.	Gilles	DE COL	
28 - Normandie	14 - Calvados	2 - Caen	211407648 - Pont-d'Ouilly	241400100	SS canton de Falaise Nord	SIVU	0	0	1972-06-26	1972-06-26	MEMNB		25	7771	1	CBUDG	Mme	Edwige	RIVIERE	
28 - Normandie	14 - Calvados	1 - Bayeux	211400635 - Bernesq	241400159	SIAEP Isigny-Trévières	SIVU	0	0	1960-06-25	1960-06-25	MEMNB		10	5855	1	CBUDG	M.	Marc	BEAUSIRE	
28 - Normandie	14 - Calvados	2 - Caen	211402284 - Douvres-la-Délivrande	251400131	SIAEP Douvres-la-Délivrande	SIVU	0	0	1962-02-20	1962-02-20	MEMNB		4	9937	1	CBUDG	M.	Jean-Michel	GODET	
28 - Normandie	14 - Calvados	4 - Vire	211402417 - Épinay-sur-Odon	251400230	SIAEP Pré Bocage	SIVU	0	0	1967-03-08	1967-03-08	POPUL		20	18579	1	CBUDG	M.	Franck	HELLOUIN	
28 - Normandie	14 - Calvados	2 - Caen	211407127 - Troarn	251400289	SIAEP Troarn - Saint-Pair	SIVU	0	0	1931-05-28	1931-05-28	MEMNB		6	1802	1	CBUDG	M.	Alain	LAJOYE	
28 - Normandie	14 - Calvados	1 - Bayeux	211403126 - Grandcamp-Maisy	251400370	SIAEP Grandcamp Maisy	SIVU	0	0	1957-11-21	1957-11-21	POPUL		2	1685	1	CBUDG	M.	Olivier	MADELAINE	
28 - Normandie	14 - Calvados	1 - Bayeux	200060432 - Balleroy-sur-Drôme	251400388	SIAEP Balleroy	SIVU	0	0	1962-10-12	1962-10-12	MEMNB		12	6195	1	CBUDG	M.	Jérémy	LEVAVASSEUR	
28 - Normandie	14 - Calvados	1 - Bayeux	211407457 - Vierville-sur-Mer	251400420	SIAEP région d'Omaha Beach	SIVU	0	0	1958-10-24	1958-10-24	MEMNB		17	4418	1	CBUDG	M.	Denis	MADOUASSE	
28 - Normandie	14 - Calvados	1 - Bayeux	200060432 - Balleroy-sur-Drôme	251400446	SIAEP Vaubadon-le-Tronquay	SIVU	0	0	1962-10-20	1962-10-20	MEMNB		2	2200	2	CBUDG	M.	Anthony	BERCEAU	
28 - Normandie	14 - Calvados	1 - Bayeux	211403704 - Le Molay-Littry	251400495	SIAEP de Littry	SIVU	0	0	1955-04-26	1955-04-26	MEMNB		6	4368	1	CBUDG	M.	Laurent	BOISSEL	
